"Field Name","Data Type","Enumeration","Description","Header Field","Minimum Value","Maximum Value","Import-only","Comments","ADIF Version","ADIF Status"
"SAT_NAME","String","","name of satellite","","","","","","3.1.7","Released"
"SFI","Integer","","the solar flux at the time of the QSO in the range 0 to 300 (inclusive).","","0","300","","","3.1.7","Released"
"SIG","String","","the name of the contacted station's special activity or interest group","","","","","","3.1.7","Released"
"SIG_INTL","IntlString","","the name of the contacted station's special activity or interest group","","","","","","3.1.7","Released"
"SIG_INFO","String","","information associated with the contacted station's activity or interest group","","","","","","3.1.7","Released"
"SIG_INFO_INTL","IntlString","","information associated with the contacted station's activity or interest group","","","","","","3.1.7","Released"
"SILENT_KEY","Boolean","","'Y' indicates that the contacted station's operator is now a Silent Key.","","","","","","3.1.7","Released"
"SKCC","String","","the contacted station's Straight Key Century Club (SKCC) member information","","","","","","3.1.7","Released"
"SOTA_REF","SOTARef","","the contacted station's International SOTA Reference.","","","","","","3.1.7","Released"
"SRX","Integer","","contest QSO received serial number with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"SRX_STRING","String","","contest QSO received information use Cabrillo format to convey contest information for which ADIF fields are not specified in the event of a conflict between information in a dedicated contest field and this field, information in the dedicated contest field shall prevail","","","","","","3.1.7","Released"
"STATE","Enumeration","Primary_Administrative_Subdivision[DXCC]","the code for the contacted station's Primary Administrative Subdivision (e.g. US State, JA Island, VE Province)","","","","","","3.1.7","Released"
"STATION_CALLSIGN","String","","the logging station's callsign (the callsign used over the air) if STATION_CALLSIGN is absent, OPERATOR shall be treated as both the logging station's callsign and the logging operator's callsign","","","","","","3.1.7","Released"
"STX","Integer","","contest QSO transmitted serial number with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"STX_STRING","String","","contest QSO transmitted information use Cabrillo format to convey contest information for which ADIF fields are not specified in the event of a conflict between information in a dedicated contest field and this field, information in the dedicated contest field shall prevail","","","","","","3.1.7","Released"
"SUBMODE","String","Submode[MODE]","QSO Submode use enumeration values for interoperability","","","","","","3.1.7","Released"
"SWL","Boolean","","indicates that the QSO information pertains to an SWL report","","","","","","3.1.7","Released"
"TEN_TEN","PositiveInteger","","Ten-Ten number with a value greater than 0","","1","","","","3.1.7","Released"
"TIME_OFF","Time","","HHMM or HHMMSS in UTC in the absence of <QSO_DATE_OFF>, the QSO duration is less than 24 hours. For example, the following is a QSO starting at 14 July 2020 23:55 and finishing at 15 July 2020 01:00: <QSO_DATE:8>20200714 <TIME_ON:4>2355 <TIME_OFF:4>0100","","","","","","3.1.7","Released"
"TIME_ON","Time","","HHMM or HHMMSS in UTC","","","","","","3.1.7","Released"
"TX_PWR","Number","","the logging station's power in Watts with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"UKSMG","PositiveInteger","","the contacted station's UKSMG member number with a value greater than 0","","1","","","","3.1.7","Released"
"USACA_COUNTIES","SecondarySubdivisionList","","two US counties in the case where the contacted station is located on a border between two counties, representing counties credited to the QSO for the CQ Magazine USA-CA award program. E.g. MA,Franklin:MA,Hampshire","","","","","","3.1.7","Released"
"VE_PROV","String","","import-only: use STATE instead","","","","Import-only","","3.1.7","Released"
"VUCC_GRIDS","GridSquareList","","two or four adjacent Maidenhead grid locators, each four or six characters long, representing the contacted station's grid squares credited to the QSO for the ARRL VUCC award program. E.g. EM98,FM08,EM97,FM07","","","","","","3.1.7","Released"
"WEB","String","","the contacted station's URL","","","","","","3.1.7","Released"
"WWFF_REF","WWFFRef","","the contacted station's WWFF (World Wildlife Flora & Fauna) reference","","","","","","3.1.7","Released"
